city,timestamp,temperature,season
New York,2010-01-01,-2.167048065656367,winter
New York,2010-01-02,-5.635553636680381,winter
New York,2010-01-03,-1.3667074283572231,winter
New York,2010-01-04,3.611647800794089,winter
New York,2010-01-05,0.22493948177848566,winter
New York,2010-01-06,-2.6479969051304297,winter
New York,2010-01-07,-6.526833943733983,winter
New York,2010-01-08,1.51890121463186,winter
New York,2010-01-09,-5.2360533236114515,winter
New York,2010-01-10,2.2796262966411875,winter
New York,2010-01-11,-4.165973712154327,winter
New York,2010-01-12,1.6004684037423542,winter
New York,2010-01-13,-4.948228342730849,winter
New York,2010-01-14,10.240971896116054,winter
New York,2010-01-15,2.366463345471621,winter
New York,2010-01-16,0.6745966352024273,winter
New York,2010-01-17,-1.4988536789982845,winter
New York,2010-01-18,-1.590508742295773,winter
New York,2010-01-19,-5.485274931276935,winter
New York,2010-01-20,-1.2178962439848648,winter
New York,2010-01-21,-4.530416163544633,winter
New York,2010-01-22,-9.909992142000043,winter
New York,2010-01-23,0.10009462628340864,winter
New York,2010-01-24,-3.3200888066962815,winter
New York,2010-01-25,-8.933669309513705,winter
New York,2010-01-26,0.03213714430556115,winter
New York,2010-01-27,2.4278499993028966,winter
New York,2010-01-28,6.398613733731718,winter
New York,2010-01-29,-4.223389910168052,winter
New York,2010-01-30,2.3429878864521654,winter
New York,2010-01-31,8.306346943825178,winter
New York,2010-02-01,6.413139971118317,winter
New York,2010-02-02,-7.433342190977026,winter
New York,2010-02-03,-2.9414413304645857,winter
New York,2010-02-04,-1.673657640981177,winter
New York,2010-02-05,-0.793512299418725,winter
New York,2010-02-06,-3.263199296315143,winter
New York,2010-02-07,4.534500476056984,winter
New York,2010-02-08,-5.61935302087085,winter
New York,2010-02-09,-2.792813218375769,winter
New York,2010-02-10,-0.06783529050117718,winter
New York,2010-02-11,9.236907008436777,winter
New York,2010-02-12,-3.14513282427579,winter
New York,2010-02-13,-1.1570084356797519,winter
New York,2010-02-14,-1.2517779128745632,winter
New York,2010-02-15,-1.6621788019467643,winter
New York,2010-02-16,3.9150240189440746,winter
New York,2010-02-17,-0.7939931271358855,winter
New York,2010-02-18,-3.040175802828501,winter
New York,2010-02-19,1.3562458283164645,winter
New York,2010-02-20,2.888153373055637,winter
New York,2010-02-21,-3.4372792017942215,winter
New York,2010-02-22,-3.3822069052674717,winter
New York,2010-02-23,-14.807086631013249,winter
New York,2010-02-24,7.919997702317369,winter
New York,2010-02-25,13.926913750166019,winter
New York,2010-02-26,4.201352048228585,winter
New York,2010-02-27,2.299907550946225,winter
New York,2010-02-28,-2.985626306552704,winter
New York,2010-03-01,9.334383171187053,spring
New York,2010-03-02,13.198305369061018,spring
New York,2010-03-03,19.03682301033876,spring
New York,2010-03-04,10.140075152366045,spring
New York,2010-03-05,7.998366450538511,spring
New York,2010-03-06,9.915522206600986,spring
New York,2010-03-07,2.5855994915078906,spring
New York,2010-03-08,16.052694983267614,spring
New York,2010-03-09,13.53166162539404,spring
New York,2010-03-10,6.333054867748215,spring
New York,2010-03-11,14.085341234787638,spring
New York,2010-03-12,17.859148450413926,spring
New York,2010-03-13,14.499956349851443,spring
New York,2010-03-14,14.539819896671032,spring
New York,2010-03-15,3.505275927008043,spring
New York,2010-03-16,6.47894064642224,spring
New York,2010-03-17,0.8478743944922442,spring
New York,2010-03-18,6.116800795317937,spring
New York,2010-03-19,8.4078092357378,spring
